Mã Đơn Hàng (*),Thời Gian (YYYY-MM-DD HH:MM),Trạng Thái (completed/cancelled),Tên Món (*),Biến Thể / Size,Số Lượng (*),Đơn Giá Món (*),Topping Đi Kèm,Tiền Topping,Giảm Giá Đơn,Phí Ship,Phụ Thu,Tổng Tiền Đơn,Nguồn Tiền (Tiền mặt/Chuyển khoản),Thu Ngân,Ghi Chú Đơn
PUKQHAEETT,2026-08-19 11:12:22,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
LULZKCLLXV,2026-08-19 11:12:22,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
YLKVRQEBMH,2026-08-19 10:50:19,completed,CAM,Size M,2,25000,,,0,0,0,50000,Tiền mặt,NDN,
WBMJKLPKMM,2026-08-19 10:50:09,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
FREDZMZOZT,2026-08-19 10:03:50,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
OLCNJUTJXV,2026-08-19 09:53:59,completed,DỨA,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
UBHAPNQHOQ,2026-08-18 21:50:40,completed,ỔI + DỨA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
IDCKBISELQ,2026-08-18 21:50:40,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,DAT,
PDIOVZEOYF,2026-08-18 21:26:54,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
GCQNBDVOMU,2026-08-18 20:44:55,completed,CÀ PHÊ MUỐI,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
GSGRWIYMJG,2026-08-18 19:31:46,completed,DỨA + CAM,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
SWQOSTLHUB,2026-08-18 18:31:50,completed,LỰU,Size L,2,35000,,,0,0,0,70000,Chuyển khoản,NHUNG,
CWGPILYZKT,2026-08-18 17:41:15,completed,ỔI + CÓC,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
PLVHPFKRME,2026-08-18 17:32:55,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
CPXHPELZGY,2026-08-18 17:32:55,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
HSZFKBVAOG,2026-08-18 17:32:55,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
SCUDAUKGHP,2026-08-18 17:32:55,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
CVHGNHCSXH,2026-08-18 17:02:49,completed,LÊ,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
TAXNNOGBVE,2026-08-18 16:12:54,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
XNDHEIUBJO,2026-08-18 14:30:43,completed,DỨA + CAM,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
YMIEJBAOOU,2026-08-18 13:59:31,completed,CÀ PHÊ MUỐI,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
FFGAAFUTCH,2026-08-18 13:33:38,completed,CAM,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
RBMVYYLXKD,2026-08-18 12:38:12,completed,LỰU,Size L,4,35000,,,0,0,0,140000,Chuyển khoản,NHUNG,
FKNXCOGHRT,2026-08-18 12:38:12,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
CYPHBWWDQK,2026-08-18 12:38:12,completed,LỰU + TÁO,Size L,3,35000,,,0,0,0,105000,Chuyển khoản,NHUNG,
CSDDDRJPGM,2026-08-18 12:38:12,completed,ỔI + CÓC,Size L,2,30000,,,0,0,0,60000,Chuyển khoản,NHUNG,
OXDQGHOMBR,2026-08-18 12:38:12,completed,CÀ PHÊ MUỐI,Size L,2,30000,,,0,0,0,60000,Chuyển khoản,NHUNG,
OMKIZBAPAH,2026-08-18 12:38:12,completed,CAM,Size L,3,30000,,,0,0,0,90000,Chuyển khoản,NHUNG,
CUNUEHFSII,2026-08-18 12:24:08,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
ZYWIJDVELZ,2026-08-18 11:26:48,completed,CÀ PHÊ MUỐI,Size L,1,30000,,,0,0,0,30000,Tiền mặt,NHUNG,
KXQEUHQYXF,2026-08-18 11:25:24,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
KEOOTAVIBT,2026-08-18 09:10:07,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
WXKBJYTARM,2026-08-18 09:09:31,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
MQCTISQDSD,2026-08-18 09:09:31,completed,ỔI,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
EAGFGBMMNB,2026-08-18 08:37:30,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
ZBQKKUOZNQ,2026-08-18 08:37:21,completed,LỰU,Size L,2,35000,,,0,0,0,70000,Chuyển khoản,NHUNG,
XOMDVMABBE,2026-08-18 08:37:13,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
LMXDGCSGCI,2026-08-18 08:37:13,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
ZQDXBDKZXR,2026-08-17 22:26:00,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,DAT,
PQIIXSLDXP,2026-08-17 22:00:57,completed,CÓC,Size M,5,20000,,,20000,0,0,0,Tiền mặt,NDN,
CCNBWRFXDQ,2026-08-17 21:43:42,completed,LỰU,Size L,2,35000,,,0,0,0,70000,Tiền mặt,DAT,
FXOKJALYBZ,2026-08-17 21:43:42,completed,ỔI + DỨA,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
SYJRUUXQNP,2026-08-17 21:41:58,completed,CÓC,Size L,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
ZGPKKYARDG,2026-08-17 21:41:58,completed,DƯA VÀNG,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
SVZHCIQHZU,2026-08-17 21:41:58,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Tiền mặt,DAT,
VSVNNAAVYO,2026-08-17 21:40:57,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Tiền mặt,DAT,
FLAHHVYAEQ,2026-08-17 21:40:57,completed,ỔI + CÓC,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
VNCFYWUONA,2026-08-17 21:40:57,completed,CAM + CÀ RỐT,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
UQXHXGGYRU,2026-08-17 21:40:27,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Tiền mặt,DAT,
XOABEVJQVO,2026-08-17 21:40:27,completed,CAM,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
XLKDFXZVEC,2026-08-17 21:40:27,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
SPMFVVTBDL,2026-08-17 21:39:59,completed,LỰU + DỨA,Size L,1,35000,,,0,0,0,35000,Tiền mặt,DAT,
YDEXDYOWIJ,2026-08-17 21:39:59,completed,DỨA + TÁO,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
TULMYARATH,2026-08-17 21:39:59,completed,ỔI + TÁO,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
IESQSDQCBI,2026-08-17 21:39:14,completed,LỰU,Size L,2,35000,,,0,0,0,70000,Tiền mặt,DAT,
NDUJKXCCIU,2026-08-17 20:01:03,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
XLMEIDVZZV,2026-08-17 19:48:45,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Tiền mặt,DAT,
PTLMOKBGNR,2026-08-17 19:48:37,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
UZFUEZHSNZ,2026-08-17 19:48:23,completed,DƯA VÀNG,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
QMUPLPKGBO,2026-08-17 19:48:10,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,DAT,
KHCGYIIZAE,2026-08-17 18:13:46,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NDN,
URUHFWNGAW,2026-08-17 18:13:46,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
NRHZUPSIOS,2026-08-17 18:13:27,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NDN,
XIRPEJNAYC,2026-08-17 18:13:27,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NDN,
MUOVGEKWTE,2026-08-17 17:39:55,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
XXRHRENMVZ,2026-08-17 17:19:57,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
TRDMTMGRJP,2026-08-17 17:05:38,completed,LỰU,Size L,2,35000,,,0,0,0,70000,Chuyển khoản,NHUNG,
HTKLEJRWHP,2026-08-17 16:14:52,completed,DỨA,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
MIDSFXJTOA,2026-08-17 16:12:21,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NDN,
MWJOIGJRZU,2026-08-17 16:12:21,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
JAMJANDWXB,2026-08-17 16:04:00,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
FSLVXEDHWB,2026-08-17 14:37:08,completed,CÓC,Size M,1,20000,,,20000,0,0,0,Tiền mặt,NDN,
UPIBADDTHU,2026-08-17 14:26:59,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
KTTSGYBGPL,2026-08-17 14:26:28,completed,DƯA HẤU,Size M,2,20000,,,0,0,0,40000,Chuyển khoản,NHUNG,
QUMUZNGATN,2026-08-17 14:26:28,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
RZKUREPPOT,2026-08-17 14:13:01,completed,CÓC + TÁO,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
RCHGDYLIVV,2026-08-17 14:07:16,completed,CAM,Size M,5,25000,,,0,0,0,125000,Chuyển khoản,NDN,
JNTSRQIENZ,2026-08-17 14:07:16,completed,DỨA,Size M,2,20000,,,0,0,0,40000,Chuyển khoản,NDN,
MPNSCRGVNA,2026-08-17 12:22:56,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Tiền mặt,NHUNG,
CTMISZGPPE,2026-08-17 12:22:56,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
RCCMTXEJVD,2026-08-17 11:34:24,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
WOWQGACNYH,2026-08-17 10:57:28,completed,TÁO,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
RPXCNIULLQ,2026-08-17 10:34:42,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
VWPWTJBVJK,2026-08-17 10:34:42,completed,DƯA HẤU + TÁO,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
OXTAJKMTKQ,2026-08-17 09:14:30,completed,LÊ,Size M,1,25000,,,9000,0,0,16000,Chuyển khoản,NHUNG,
CDJCLUGWWC,2026-08-16 22:36:18,completed,CÓC,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
PBCOPODYLG,2026-08-16 22:36:18,completed,DƯA VÀNG,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
VTMMEBJGMV,2026-08-16 21:25:15,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
EDYNCMHJOC,2026-08-16 21:08:11,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,DAT,
DKJMNIBCEF,2026-08-16 20:59:53,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,DAT,
ZKSHQMGUHY,2026-08-16 20:59:53,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
XHCYIPGPZU,2026-08-16 20:44:23,completed,DỨA + CAM,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
XHHTNOAKNC,2026-08-16 20:33:22,completed,CÀ PHÊ SỮA,Size M,2,25000,,,0,0,0,50000,Tiền mặt,DAT,
MZQGLTYYBW,2026-08-16 20:33:11,completed,DỨA,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
NELFLUJXDQ,2026-08-16 20:33:11,completed,CAM,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
OIHQRLGDIJ,2026-08-16 19:20:39,completed,DƯA HẤU,Size L,2,25000,,,0,0,0,50000,Chuyển khoản,NHUNG,
CRUUZIWJSL,2026-08-16 19:20:39,completed,DỨA + CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
MKRPKPAIFQ,2026-08-16 18:32:03,completed,LỰU,Size L,2,35000,,,0,0,0,70000,Chuyển khoản,NHUNG,
WDAPGTYCPH,2026-08-16 18:32:03,completed,CÓC,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
HDUHVTHWBU,2026-08-16 18:32:03,completed,DƯA HẤU,Size M,1,0,,,0,0,0,0,Chuyển khoản,NHUNG,
FKLFRUIEBV,2026-08-16 18:30:02,cancelled,LỰU,Size L,2,35000,,,0,0,0,70000,Tiền mặt,NHUNG,
OSMKZSHFGG,2026-08-16 18:30:02,cancelled,CÓC,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
RMHAEDNZLB,2026-08-16 18:30:02,cancelled,DƯA HẤU,Size M,1,0,,,0,0,0,0,Tiền mặt,NHUNG,
WCWSFDWMPS,2026-08-16 18:30:23,completed,LỰU,Size L,3,35000,,,0,0,0,105000,Chuyển khoản,NHUNG,
FWPIQGZMGV,2026-08-16 18:30:23,completed,CÓC,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
PJUYCGEQDO,2026-08-16 17:59:48,completed,DỨA + CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
TVJKFVAEYX,2026-08-16 17:59:48,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
OUSXVNHDHH,2026-08-16 17:40:12,completed,CÓC,Size M,1,0,,,0,0,0,0,Tiền mặt,NHUNG,
DXOLHTJFXB,2026-08-16 17:39:06,completed,LỰU,Size L,1,40000,,,0,0,0,40000,Chuyển khoản,NHUNG,
QBSULPWJIC,2026-08-16 17:09:41,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
DGWXRATTLL,2026-08-16 17:09:41,completed,TÁO,Size M,2,25000,,,0,0,0,50000,Chuyển khoản,NHUNG,
ESMVXNOHXJ,2026-08-16 17:09:41,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
MRNVDMLCAO,2026-08-16 17:09:41,completed,DƯA HẤU,Size M,1,0,,,0,0,0,0,Chuyển khoản,NHUNG,
GWJIAQKCTP,2026-08-16 17:09:04,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
ZCXAYHHZDZ,2026-08-16 17:09:04,completed,LỰU + TÁO,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
SCEMGVHBFZ,2026-08-16 15:25:26,completed,CAM,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
KFQXMTJYZS,2026-08-16 15:25:26,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
JTEFAWVZFL,2026-08-16 15:25:11,completed,TÁO,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
PWWCBFLMLR,2026-08-16 15:25:11,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
MZUWZDDORF,2026-08-16 14:47:08,completed,CAM,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
LZCVIBJHPD,2026-08-16 14:45:17,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
ZJCZSTFDKC,2026-08-16 13:38:45,completed,LÊ,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
TGJOWWOIKN,2026-08-16 13:35:53,completed,LỰU,Size L,2,35000,,,0,0,0,70000,Chuyển khoản,NDN,
UJUPBWBEEA,2026-08-16 13:35:53,completed,DỨA,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
GJSSKRMGMM,2026-08-16 13:34:42,completed,DỨA,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
IDYPSJVSLH,2026-08-16 13:34:27,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NDN,
EDMDKULVTC,2026-08-16 12:46:17,completed,CÀ PHÊ MUỐI,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
YMOBHMNHMW,2026-08-16 11:41:55,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NDN,
KTNYMGOQLF,2026-08-16 11:24:05,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
VQLFQVNFTD,2026-08-16 11:24:05,completed,DƯA VÀNG,Size L,1,30000,,,0,0,0,30000,Tiền mặt,NDN,
KCOMFMGMBF,2026-08-16 10:11:32,completed,CAM,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
ZUWOMPFHJU,2026-08-16 10:11:32,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
WQTMWTNIVY,2026-08-16 09:01:40,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
XJRSSUNAHT,2026-08-16 09:00:16,completed,CAM,Size M,2,25000,,,0,0,0,50000,Chuyển khoản,NDN,
RJWVOTQGTE,2026-08-15 22:13:00,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
VOCYJYWWFR,2026-08-15 22:09:43,completed,LÊ,Size L,1,30000,,,10000,0,0,20000,Chuyển khoản,NHUNG,
COOKRUCRRY,2026-08-15 21:54:24,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
CVBVXKNFOC,2026-08-15 21:08:14,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
KXHZBLWDGE,2026-08-15 20:19:34,completed,CÀ PHÊ MUỐI,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
CGWWRYDHPL,2026-08-15 19:48:59,completed,CÓC + TÁO,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
TMDAJJZCEV,2026-08-15 18:16:40,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
IUMWKNYQOT,2026-08-15 18:11:38,completed,LỰU,Size L,2,35000,,,0,0,0,70000,Chuyển khoản,DAT,
WWWVUENKQX,2026-08-15 17:26:31,completed,ỔI,Size M,1,20000,,,4000,0,0,16000,Chuyển khoản,NDN,
FGVQCFPHDY,2026-08-15 17:16:51,completed,CÓC + DỨA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
XDKWAGXACS,2026-08-15 16:20:24,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
PTHEMDQOIP,2026-08-15 16:20:24,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
FYKMJJFSWE,2026-08-15 14:41:14,completed,DƯA HẤU + TÁO,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
ENAFQOVNCE,2026-08-15 14:41:14,completed,CÀ PHÊ MUỐI,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
FGOJPHKJKJ,2026-08-15 13:15:45,completed,LỰU,Size L,3,35000,,,0,0,0,105000,Chuyển khoản,NHUNG,
CZJFHKEQCO,2026-08-15 13:15:45,completed,CÓC,Size M,1,0,,,0,0,0,0,Chuyển khoản,NHUNG,
SAVZYRMLXL,2026-08-15 13:13:21,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
RVDMFADCFZ,2026-08-15 13:13:21,completed,TÁO,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
NMTKBRZTRL,2026-08-15 12:52:17,completed,CAM,Size L,2,30000,,,0,0,0,60000,Tiền mặt,NDN,
OXMVKHVYUP,2026-08-15 12:52:17,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Tiền mặt,NDN,
ETIDRECUHS,2026-08-15 12:52:17,completed,CÓC,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
YMTNVVIWYI,2026-08-15 12:51:39,completed,CÀ PHÊ MUỐI,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
JIVGCKFVZU,2026-08-15 12:46:06,completed,DƯA HẤU,Size L,2,20000,,,0,0,0,40000,Chuyển khoản,NHUNG,
ZZRYDUWZQJ,2026-08-15 12:15:27,completed,DỨA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
KYBXJVQOMJ,2026-08-15 11:21:09,completed,DƯA HẤU,Size M,2,20000,,,0,0,0,40000,Chuyển khoản,NDN,
IFSETSUSEQ,2026-08-15 11:21:09,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NDN,
VKJPNKIEWX,2026-08-15 11:20:56,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
INJSCAHTRJ,2026-08-15 11:20:47,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Tiền mặt,NDN,
HSRXRMEVCJ,2026-08-15 10:10:31,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
BROFNOGBJI,2026-08-15 09:11:53,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
GHKCOBRMDQ,2026-08-15 09:11:53,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
YYWYFGRHZL,2026-08-15 09:11:53,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NDN,
XVFWVCLGVO,2026-08-15 09:11:53,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
TZJPJDINDG,2026-08-15 09:11:53,completed,TÁO,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
EPIJLSCIKO,2026-08-15 09:11:53,completed,LÊ,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
IYGGZIPOBP,2026-08-15 09:11:53,completed,DƯA HẤU,Size M,1,0,,,0,0,0,0,Chuyển khoản,NDN,
NQRRSECOJR,2026-08-15 08:43:00,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
POCDDGMTVQ,2026-08-15 08:12:22,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
UUGXERVFSQ,2026-08-14 22:33:11,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,DAT,
XSTBAFMFJZ,2026-08-14 22:04:18,completed,LỰU,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
WEUHXRECPM,2026-08-14 21:47:28,completed,DỨA + CAM,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
TOIFCUIZLC,2026-08-14 21:43:12,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,DAT,
XOYVSAKFJY,2026-08-14 18:19:39,cancelled,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
BDIZSKVXSX,2026-08-14 20:25:17,completed,TÁO + CÀ RỐT,Size L,2,30000,,,0,0,0,60000,Chuyển khoản,DAT,
WQUZEDGRBT,2026-08-14 20:21:26,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Chuyển khoản,DAT,
VMBAIIWRMM,2026-08-14 18:49:23,completed,CÀ PHÊ ĐEN,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
UBVZYQLJHS,2026-08-14 18:25:33,completed,CÀ PHÊ SỮA,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
UKLUIJLRRL,2026-08-14 18:13:49,completed,CÓC + TÁO,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
BQYAEQGRBW,2026-08-14 18:13:34,completed,CAM,Size L,1,30000,,,0,0,0,30000,Tiền mặt,NDN,
WTTHZVUEZG,2026-08-14 17:50:55,completed,CAM,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
YXPHWLOQBQ,2026-08-14 17:35:10,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
FBXNTJMWSY,2026-08-14 17:35:10,completed,DƯA HẤU + DỨA,Size L,1,30000,,,0,0,0,30000,Tiền mặt,NHUNG,
FIOAVQPMPG,2026-08-14 16:58:27,completed,LỰU,Size M,2,35000,,,0,0,0,70000,Chuyển khoản,NHUNG,
CZFOHIJUGJ,2026-08-14 16:58:27,completed,CÓC,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
WRGAAQMPWJ,2026-08-14 16:56:57,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
ZRVPGJMSEP,2026-08-14 15:39:39,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Tiền mặt,NHUNG,
JKINDYNDCE,2026-08-14 15:39:26,completed,LỰU,Size L,1,30000,,,0,0,0,30000,Tiền mặt,NHUNG,
ENGGRJDFAL,2026-08-14 13:54:18,completed,ỔI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
GMULTPGRWJ,2026-08-14 13:41:58,completed,CAM,Size L,1,30000,,,0,0,0,30000,Tiền mặt,NHUNG,
XKVBMKASMG,2026-08-14 13:40:30,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
YHAMVAXRIG,2026-08-14 12:37:47,completed,DƯA HẤU,Size M,3,25000,,,0,0,0,75000,Chuyển khoản,NHUNG,
UAPIBXUQRH,2026-08-14 12:37:47,completed,CÀ PHÊ ĐEN,Size L,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
ROEQMEZCMN,2026-08-14 12:37:47,completed,ỔI + CÓC,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
NEJDRDYYJY,2026-08-14 12:10:07,completed,LỰU,Size L,3,35000,,,0,0,0,105000,Chuyển khoản,NHUNG,
OEWDVORMSL,2026-08-14 12:10:07,completed,CÓC,Size L,1,0,,,0,0,0,0,Chuyển khoản,NHUNG,
