Mã Đơn Hàng (*),Thời Gian (YYYY-MM-DD HH:MM),Trạng Thái (completed/cancelled),Tên Món (*),Biến Thể / Size,Số Lượng (*),Đơn Giá Món (*),Topping Đi Kèm,Tiền Topping,Giảm Giá Đơn,Phí Ship,Phụ Thu,Tổng Tiền Đơn,Nguồn Tiền (Tiền mặt/Chuyển khoản),Thu Ngân,Ghi Chú Đơn
KCTUQDPRXE,2026-07-27 17:39:17,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
EUURAKPYLR,2026-07-27 13:38:47,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
TOLHKYFKCU,2026-07-27 13:38:47,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
CLLTRZQIIP,2026-07-27 13:38:39,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
FVDVMNKVLZ,2026-07-27 10:28:22,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
FXEMERHFWY,2026-07-26 22:11:34,completed,DƯA HẤU + CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
KEXTZOGIVN,2026-07-26 22:11:34,completed,LÊ,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
MFBKKMLNKL,2026-07-26 21:22:55,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
NXXAXKOHSW,2026-07-26 18:15:08,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
PQJVFMSTKW,2026-07-26 18:15:08,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
RPASBPFOGD,2026-07-26 18:03:26,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
PYRIKEFNKF,2026-07-26 17:51:57,completed,TÁO + LÊ,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
QFIZRDSJOC,2026-07-26 17:51:57,completed,DƯA HẤU + CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
UXZQEZRLCJ,2026-07-26 14:40:13,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
VPSVDOQCLS,2026-07-26 14:26:22,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
LQGLCBSBFB,2026-07-26 14:26:22,completed,TÁO + LÊ,Size M,2,25000,,,0,0,0,50000,Chuyển khoản,NHUNG,
OBLHYZEQGS,2026-07-26 14:26:22,completed,DỨA + TÁO,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
WJKENJWIPE,2026-07-26 13:45:04,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
VATZHLTGIJ,2026-07-26 13:45:04,completed,CAM,Size M,2,25000,,,12500,0,0,25000,Tiền mặt,NHUNG,
